Flat profile:

Each sample counts as 0.01 seconds.
  %   cumulative   self              self     total           
 time   seconds   seconds    calls  Ts/call  Ts/call  name    
name       the name of the function.  This is the minor sort
           for this listing. The index shows the location of
	   the function in the gprof listing. If the index is
	   in parenthesis it shows where it would appear in
	   the gprof listing if it were to be printed.

Copyright (C) 2012-2016 Free Software Foundation, Inc.

Copying and distribution of this file, with or without modification,
are permitted in any medium without royalty provided the copyright
notice and this notice are preserved.

		     Call graph (explanation follows)


granularity: each sample hit covers 2 byte(s) for 0.06% of 16.75 seconds

index % time    self  children    called     name
                0.00    0.00       2/131642      zran3 (real.c:925 @ 402b15) [1828]
                0.00    0.00       4/131642      power (real.c:1135 @ 402909) [1136]
                0.00    0.00      52/131642      power (real.c:1136 @ 4028f0) [1133]
                0.00    0.00     512/131642      zran3 (real.c:935 @ 402b60) [1834]
                0.00    0.00  131072/131642      zran3 (real.c:946 @ 402c21) [1844]
[168]    0.0    0.00    0.00  131642         randlc (randdp.c:5 @ 4079c0) [168]
-----------------------------------------------
                0.00    0.00  131072/131072      zran3 (real.c:945 @ 402c1c) [1843]
[169]    0.0    0.00    0.00  131072         vranlc (randdp.c:72 @ 407a70) [169]
-----------------------------------------------
                0.00    0.00       2/493         zran3 (real.c:916 @ 4029d0) [1813]
                0.00    0.00       2/493         zran3 (real.c:916 @ 4029db) [1815]
                0.00    0.00       2/493         zran3 (real.c:922 @ 402acf) [1818]
                0.00    0.00       2/493         zran3 (real.c:1084 @ 403a19) [1924]
                0.00    0.00     147/493         rprj3 (real.c:627 @ 405b81) [1424]
                0.00    0.00     168/493         psinv (real.c:485 @ 4051cd) [1208]
                0.00    0.00     170/493         resid (real.c:547 @ 4044c7) [1336]
[170]    0.0    0.00    0.00     493         norm2u3 (real.c:808 @ 4024f0) [170]
-----------------------------------------------
                0.00    0.00      21/168         mg3P (real.c:406 @ 4076e1) [948]
                0.00    0.00      21/168         mg3P (real.c:432 @ 407948) [959]
                0.00    0.00     126/168         mg3P (real.c:425 @ 40787e) [954]
[171]    0.0    0.00    0.00     168         psinv (real.c:449 @ 404a00) [171]
-----------------------------------------------
                0.00    0.00      21/147         mg3P (real.c:430 @ 4078d1) [957]
                0.00    0.00     126/147         mg3P (real.c:415 @ 4077dd) [952]
[172]    0.0    0.00    0.00     147         interp (real.c:651 @ 405df0) [172]
-----------------------------------------------
                0.00    0.00      21/147         mg3P (real.c:431 @ 40791f) [958]
                0.00    0.00     126/147         mg3P (real.c:420 @ 407826) [953]
[173]    0.0    0.00    0.00     147         resid (real.c:511 @ 403c80) [173]
-----------------------------------------------
                0.00    0.00     147/147         mg3P (real.c:397 @ 4075b5) [944]
[174]    0.0    0.00    0.00     147         rprj3 (real.c:570 @ 405690) [174]
-----------------------------------------------
                0.00    0.00       2/4           timer_start (c_timers.c:48 @ 407c70) [1739]
                0.00    0.00       2/4           elapsed_time (c_timers.c:22 @ 407cb0) [453]
[175]    0.0    0.00    0.00       4         wtime_ (wtime.c:8 @ 401750) [175]
-----------------------------------------------

 This table describes the call tree of the program, and was sorted by
 the total amount of time spent in each function and its children.

 Each entry in this table consists of several lines.  The line with the
 index number at the left hand margin lists the current function.
 The lines above it list the functions that called this function,
 and the lines below it list the functions this one called.
 This line lists:
     index	A unique number given to each element of the table.
		Index numbers are sorted numerically.
		The index number is printed next to every function name so
		it is easier to look up where the function is in the table.

     % time	This is the percentage of the `total' time that was spent
		in this function and its children.  Note that due to
		different viewpoints, functions excluded by options, etc,
		these numbers will NOT add up to 100%.

     self	This is the total amount of time spent in this function.

     children	This is the total amount of time propagated into this
		function by its children.

     called	This is the number of times the function was called.
		If the function called itself recursively, the number
		only includes non-recursive calls, and is followed by
		a `+' and the number of recursive calls.

     name	The name of the current function.  The index number is
		printed after it.  If the function is a member of a
		cycle, the cycle number is printed between the
		function's name and the index number.


 For the function's parents, the fields have the following meanings:

     self	This is the amount of time that was propagated directly
		from the function into this parent.

     children	This is the amount of time that was propagated from
		the function's children into this parent.

     called	This is the number of times this parent called the
		function `/' the total number of times the function
		was called.  Recursive calls to the function are not
		included in the number after the `/'.

     name	This is the name of the parent.  The parent's index
		number is printed after it.  If the parent is a
		member of a cycle, the cycle number is printed between
		the name and the index number.

 If the parents of the function cannot be determined, the word
 `<spontaneous>' is printed in the `name' field, and all the other
 fields are blank.

 For the function's children, the fields have the following meanings:

     self	This is the amount of time that was propagated directly
		from the child into the function.

     children	This is the amount of time that was propagated from the
		child's children to the function.

     called	This is the number of times the function called
		this child `/' the total number of times the child
		was called.  Recursive calls by the child are not
		listed in the number after the `/'.

     name	This is the name of the child.  The child's index
		number is printed after it.  If the child is a
		member of a cycle, the cycle number is printed
		between the name and the index number.

 If there are any cycles (circles) in the call graph, there is an
 entry for the cycle-as-a-whole.  This entry shows who called the
 cycle (as parents) and the members of the cycle (as children.)
 The `+' recursive calls entry shows the number of function calls that
 were internal to the cycle, and the calls entry for each member shows,
 for that member, how many times it was called from other members of
 the cycle.

Copyright (C) 2012-2016 Free Software Foundation, Inc.

Copying and distribution of this file, with or without modification,
are permitted in any medium without royalty provided the copyright
notice and this notice are preserved.

Index by function name

  [46] comm3 (real.c:869 @ 402766) [73] psinv (real.c:463 @ 404e2e) [162] resid (real.c:538 @ 4047ba)
 [150] comm3 (real.c:868 @ 40277a) [135] psinv (real.c:466 @ 404ee5) [106] resid (real.c:529 @ 4047be)
 [151] comm3 (real.c:869 @ 40277d) [94] psinv (real.c:470 @ 404fd0) [142] resid (real.c:530 @ 4047c5)
 [123] comm3 (real.c:870 @ 402781) [74] psinv (real.c:468 @ 404fec) [143] resid (real.c:537 @ 4047d6)
 [152] comm3 (real.c:875 @ 402791) [81] psinv (real.c:468 @ 405003) [144] resid (real.c:537 @ 4047e1)
  [77] comm3 (real.c:876 @ 4027a0) [82] psinv (real.c:467 @ 405009) [96] resid (real.c:529 @ 4047f4)
  [79] comm3 (real.c:877 @ 4027aa) [37] psinv (real.c:467 @ 405012) [174] rprj3 (real.c:570 @ 405690)
 [153] comm3 (real.c:882 @ 402820) [26] psinv (real.c:469 @ 405018) [163] rprj3 (real.c:605 @ 405972)
  [78] comm3 (real.c:883 @ 402840) [75] psinv (real.c:468 @ 40502c) [117] rprj3 (real.c:604 @ 405980)
 [124] comm3 (real.c:884 @ 40284b) [36] psinv (real.c:469 @ 405030) [48] rprj3 (real.c:604 @ 405995)
 [172] interp (real.c:651 @ 405df0) [68] psinv (real.c:470 @ 405043) [15] rprj3 (real.c:605 @ 4059a0)
 [154] interp (real.c:668 @ 406198) [95] psinv (real.c:469 @ 405054) [29] rprj3 (real.c:604 @ 4059ac)
 [101] interp (real.c:669 @ 4061a4) [52] psinv (real.c:471 @ 405058) [97] rprj3 (real.c:606 @ 4059b5)
  [91] interp (real.c:670 @ 4061b0) [50] psinv (real.c:469 @ 405065) [27] rprj3 (real.c:607 @ 4059c1)
 [155] interp (real.c:669 @ 4061c8) [4] psinv (real.c:471 @ 405069) [43] rprj3 (real.c:606 @ 4059cc)
  [40] interp (real.c:670 @ 4061d1) [30] psinv (real.c:467 @ 405083) [164] rprj3 (real.c:602 @ 4059d5)
  [28] interp (real.c:675 @ 4062c2) [136] psinv (real.c:467 @ 40512d) [111] rprj3 (real.c:610 @ 4059d7)
 [102] interp (real.c:674 @ 4062cd) [168] randlc (randdp.c:5 @ 4079c0) [89] rprj3 (real.c:614 @ 405a2f)
 [108] interp (real.c:677 @ 4062d8) [157] randlc (randdp.c:48 @ 4079e2) [107] rprj3 (real.c:617 @ 405a50)
 [103] interp (real.c:677 @ 4062e3) [158] randlc (randdp.c:49 @ 4079ea) [118] rprj3 (real.c:619 @ 405a67)
 [104] interp (real.c:673 @ 4062e9) [173] resid (real.c:511 @ 403c80) [119] rprj3 (real.c:618 @ 405a71)
 [115] interp (real.c:677 @ 4062ec) [38] resid (real.c:522 @ 403ff6) [165] rprj3 (real.c:619 @ 405a84)
 [156] interp (real.c:676 @ 4062f5) [9] resid (real.c:523 @ 40408f) [39] rprj3 (real.c:618 @ 405a88)
 [125] interp (real.c:683 @ 406334) [60] resid (real.c:524 @ 4040b7) [98] rprj3 (real.c:617 @ 405a95)
  [22] interp (real.c:680 @ 40633c) [24] resid (real.c:523 @ 4040be) [112] rprj3 (real.c:620 @ 405a9b)
 [126] interp (real.c:680 @ 406356) [2] resid (real.c:524 @ 4040c2) [99] rprj3 (real.c:614 @ 405aaa)
 [127] interp (real.c:683 @ 406375) [58] resid (real.c:525 @ 4040e3) [166] rprj3 (real.c:615 @ 405aaf)
 [109] interp (real.c:681 @ 40637f) [16] resid (real.c:524 @ 4040ea) [120] rprj3 (real.c:614 @ 405ab5)
  [51] interp (real.c:682 @ 40638b) [12] resid (real.c:525 @ 4040ee) [145] rprj3 (real.c:618 @ 405ac3)
 [128] interp (real.c:689 @ 4064fd) [31] resid (real.c:526 @ 4040f9) [113] rprj3 (real.c:612 @ 405acb)
  [19] interp (real.c:686 @ 406501) [20] resid (real.c:525 @ 404109) [146] rprj3 (real.c:612 @ 405add)
 [129] interp (real.c:686 @ 40651f) [1] resid (real.c:526 @ 40411a) [90] rprj3 (real.c:619 @ 405aef)
 [130] interp (real.c:686 @ 40652d) [6] resid (real.c:525 @ 40413f) [76] rprj3 (real.c:620 @ 405af8)
  [92] interp (real.c:689 @ 40653e) [57] resid (real.c:528 @ 4041fd) [84] rprj3 (real.c:616 @ 405afc)
 [110] interp (real.c:687 @ 406548) [137] resid (real.c:528 @ 4042b8) [121] rprj3 (real.c:610 @ 405b01)
  [67] interp (real.c:688 @ 406554) [53] resid (real.c:537 @ 4042cb) [147] rprj3 (real.c:599 @ 405b0a)
  [42] interp (real.c:692 @ 4066dd) [33] resid (real.c:530 @ 4042e8) [169] vranlc (randdp.c:72 @ 407a70)
 [131] interp (real.c:693 @ 4066f5) [138] resid (real.c:537 @ 4042fa) [114] vranlc (randdp.c:122 @ 407aba)
  [93] interp (real.c:692 @ 40670d) [35] resid (real.c:530 @ 404300) [62] vranlc (randdp.c:128 @ 407ac0)
 [132] interp (real.c:693 @ 406728) [34] resid (real.c:529 @ 404306) [54] vranlc (randdp.c:129 @ 407acc)
 [133] interp (real.c:695 @ 40672c) [88] resid (real.c:530 @ 40430b) [100] vranlc (randdp.c:130 @ 407ad4)
  [59] interp (real.c:694 @ 406734) [25] resid (real.c:538 @ 40430f) [85] vranlc (randdp.c:131 @ 407ad8)
 [170] norm2u3 (real.c:808 @ 4024f0) [11] resid (real.c:529 @ 404315) [55] vranlc (randdp.c:130 @ 407adc)
  [65] norm2u3 (real.c:826 @ 4025f8) [10] resid (real.c:537 @ 40431b) [63] vranlc (randdp.c:131 @ 407ae4)
